RegionName,2024-08-31,2024-10-31,2025-07-31
"ASHEVILLE, NC",-0.3,-1.3,1.8
"YORK, PA",-0.2,-1.3,0.6
"VALLEJO, CA",-0.8,-2.5,-2.6
"SANTA MARIA, CA",-0.7,-1.9,1.7
"SALINAS, CA",-0.7,-2.1,-0.1
"SALEM, OR",-0.4,-1.6,-0.4
"MOBILE, AL",-0.1,-0.9,0.5
"READING, PA",-0.2,-1.3,1.6
"CORPUS CHRISTI, TX",-0.5,-2.1,-2.5
"BROWNSVILLE, TX",-0.1,-0.8,2.0
"MANCHESTER, NH",-0.3,-1.7,2.7
"FORT WAYNE, IN",-0.2,-1.5,1.8
"GULFPORT, MS",-0.1,-1.0,-0.4
"SALISBURY, MD",-0.3,-1.2,0.6
"FLINT, MI",-0.1,-1.2,0.6
"PEORIA, IL",0.1,-1.2,-0.4
"CANTON, OH",-0.4,-2.1,-0.2
"SAVANNAH, GA",-0.3,-0.9,2.9
"ANCHORAGE, AK",-0.6,-2.4,-3.6
"BEAUMONT, TX",-0.7,-2.6,-5.4
"SHREVEPORT, LA",-0.7,-2.7,-4.8
"TRENTON, NJ",-0.2,-1.2,1.6
"MONTGOMERY, AL",-0.3,-1.7,-1.0
"DAVENPORT, IA",-0.5,-2.2,-2.8
"TALLAHASSEE, FL",-0.3,-1.4,0.2
"EUGENE, OR",-0.5,-2.1,-0.2
"NAPLES, FL",-1.1,-2.3,2.1
"ANN ARBOR, MI",-0.5,-2.6,-1.8
"OCALA, FL",-0.6,-1.4,2.0
"HICKORY, NC",-0.2,-0.9,3.1
"HUNTINGTON, WV",-0.3,-1.5,-2.0
"FORT COLLINS, CO",-0.8,-2.6,-1.3
"ROCKFORD, IL",0.1,-0.7,1.7
"LINCOLN, NE",-0.6,-2.6,-0.8
"GAINESVILLE, FL",-0.3,-1.5,1.0
"BOULDER, CO",-1.4,-3.7,-1.7
"GREEN BAY, WI",-0.1,-1.2,1.9
"COLUMBUS, GA",-0.2,-1.2,0.8
"SOUTH BEND, IN",-0.2,-1.7,1.0
"SPARTANBURG, SC",-0.2,-1.1,1.7
"GREELEY, CO",-0.6,-2.3,-1.6
"LUBBOCK, TX",-0.5,-1.8,-1.6
"CLARKSVILLE, TN",-0.1,-0.7,2.4
"ROANOKE, VA",-0.4,-2.0,1.5
"EVANSVILLE, IN",-0.2,-1.6,0.2
"KINGSPORT, TN",-0.1,-1.0,1.7
"KENNEWICK, WA",-0.3,-1.5,-0.3
"UTICA, NY",0.2,-0.2,1.1
"HAGERSTOWN, MD",-0.2,-1.2,0.7
"DULUTH, MN",-0.1,-1.7,0.0
"OLYMPIA, WA",-0.8,-2.5,0.6
"LONGVIEW, TX",-0.3,-1.5,-1.5
"WILMINGTON, NC",-0.3,-1.1,2.5
"SAN LUIS OBISPO, CA",-0.7,-2.1,-0.8
"CRESTVIEW, FL",-0.8,-2.0,0.3
"MERCED, CA",-0.2,-1.3,0.1
"WACO, TX",-0.5,-1.8,1.1
"CEDAR RAPIDS, IA",-0.4,-1.9,-1.5
"ATLANTIC CITY, NJ",0.2,-0.1,4.2
"BREMERTON, WA",-0.6,-2.1,-0.4
"SIOUX FALLS, SD",-0.3,-1.5,0.2
"SANTA CRUZ, CA",-1.1,-2.8,-1.4
"ERIE, PA",0.0,-1.2,0.6
"NORWICH, CT",0.0,-0.9,2.3
"AMARILLO, TX",-0.4,-1.6,-0.1
"LAREDO, TX",-0.5,-2.3,-2.9
"TUSCALOOSA, AL",-0.3,-1.6,-0.9
"COLLEGE STATION, TX",-0.4,-1.8,-1.6
"KALAMAZOO, MI",-0.1,-1.7,-0.2
"LYNCHBURG, VA",-0.3,-1.6,1.1
"CHARLESTON, WV",-0.2,-1.0,-0.7
"YAKIMA, WA",-0.3,-1.6,0.5
"FARGO, ND",-0.6,-2.5,-3.0
"BINGHAMTON, NY",0.3,-0.4,1.0
"FORT SMITH, AR",-0.3,-1.4,-0.2
"APPLETON, WI",-0.2,-1.5,1.2
"TOPEKA, KS",0.0,-1.2,2.4
"MACON, GA",-0.2,-1.2,1.9
"TYLER, TX",0.0,-1.0,1.1
"BARNSTABLE TOWN, MA",-0.3,-1.1,3.1
"DAPHNE, AL",-0.3,-1.0,1.2
"BELLINGHAM, WA",-0.6,-2.1,0.6
"BURLINGTON, VT",-0.4,-2.0,0.6
"ROCHESTER, MN",-0.6,-2.5,-1.5
"LAFAYETTE, IN",-0.2,-1.4,1.3
"CHAMPAIGN, IL",-0.2,-1.9,-1.4
"MEDFORD, OR",-0.6,-2.4,-2.1
"CHARLOTTESVILLE, VA",-0.5,-2.3,-0.1
"LAKE CHARLES, LA",-1.0,-3.3,-8.8
"LAS CRUCES, NM",-0.2,-1.0,1.8
"CHICO, CA",-0.6,-2.5,-3.9
"HILTON HEAD ISLAND, SC",-0.3,-0.7,2.8
"ATHENS, GA",0.0,-0.7,3.0
"LAKE HAVASU CITY, AZ",-0.6,-1.9,0.4
"COLUMBIA, MO",-0.3,-1.5,1.3
"SPRINGFIELD, IL",-0.6,-2.6,-2.7
"HOUMA, LA",-0.8,-3.2,-7.4
"MONROE, LA",-0.6,-2.3,-3.1
"ELKHART, IN",-0.3,-1.7,0.1
"JOHNSON CITY, TN",0.0,-0.6,2.8
"YUMA, AZ",-0.4,-1.2,2.4
"GAINESVILLE, GA",-0.2,-1.0,2.9
"JACKSONVILLE, NC",-0.1,-0.9,2.0
"FLORENCE, SC",-0.1,-0.9,-0.2
"HILO, HI",-0.5,-1.5,1.1
"ST. CLOUD, MN",-0.4,-2.0,-0.3
"RACINE, WI",-0.2,-1.5,0.5
"BEND, OR",-0.9,-2.7,0.8
"SAGINAW, MI",-0.2,-1.4,2.0
"WARNER ROBINS, GA",-0.1,-0.9,1.6
"TERRE HAUTE, IN",-0.1,-1.3,0.8
"TORRINGTON, CT",0.1,-0.5,3.3
"PUNTA GORDA, FL",-1.4,-3.0,-0.1
"BILLINGS, MT",-0.3,-1.7,0.6
"REDDING, CA",-0.4,-1.9,-1.4
"KINGSTON, NY",0.1,-0.2,4.1
"PANAMA CITY, FL",-0.5,-1.8,1.2
"JOPLIN, MO",-0.2,-1.1,1.4
"DOVER, DE",-0.2,-1.0,1.2
"EL CENTRO, CA",-0.3,-1.4,-0.1
"JACKSON, TN",-0.1,-0.7,1.5
"YUBA CITY, CA",-0.5,-2.0,-0.6
"BOWLING GREEN, KY",-0.2,-1.2,1.0
"ST. GEORGE, UT",-0.7,-2.1,0.6
"MUSKEGON, MI",-0.1,-1.4,1.7
"ABILENE, TX",-0.4,-2.0,-1.1
"IOWA CITY, IA",-0.6,-2.4,-2.6
"AUBURN, AL",-0.3,-1.7,-0.5
"MIDLAND, TX",-0.3,-1.9,-4.4
"HATTIESBURG, MS",-0.4,-1.9,-2.2
"BLOOMINGTON, IL",-0.3,-1.6,0.0
"OSHKOSH, WI",-0.4,-2.0,0.4
"EAU CLAIRE, WI",-0.2,-1.6,1.1
"GREENVILLE, NC",-0.2,-1.1,2.1
"BURLINGTON, NC",-0.3,-1.3,2.7
"WATERLOO, IA",-0.1,-1.5,-1.3
"COEUR D'ALENE, ID",-0.4,-1.4,2.9
"EAST STROUDSBURG, PA",-0.2,-1.1,3.7
"PUEBLO, CO",-0.7,-2.2,0.3
"BLACKSBURG, VA",-0.2,-1.6,0.2
"WAUSAU, WI",-0.1,-1.5,0.1
"KAHULUI, HI",-0.9,-2.1,1.3
"JANESVILLE, WI",0.0,-1.2,1.2
"TUPELO, MS",-0.3,-2.0,-2.5
"BLOOMINGTON, IN",-0.4,-1.9,0.3
"ODESSA, TX",-0.3,-2.0,-3.9
"JACKSON, MI",-0.2,-1.7,-0.6
"STATE COLLEGE, PA",-0.5,-2.1,-1.8
"SEBASTIAN, FL",-0.5,-1.6,1.3
"MADERA, CA",-0.2,-1.2,0.8
"DECATUR, AL",-0.3,-1.5,0.3
"CHAMBERSBURG, PA",-0.3,-1.5,-0.2
"VINELAND, NJ",0.0,-0.6,3.3
"IDAHO FALLS, ID",-0.6,-2.3,1.5
"GRAND JUNCTION, CO",-0.2,-1.2,1.2
"ELIZABETHTOWN, KY",-0.2,-1.1,0.9
"NILES, MI",-0.1,-1.4,0.9
"MONROE, MI",-0.3,-2.0,-1.6
"SANTA FE, NM",-0.2,-1.3,0.4
"CONCORD, NH",-0.1,-1.3,3.3
"ALEXANDRIA, LA",-0.6,-2.2,-5.6
"TRAVERSE CITY, MI",-0.2,-1.6,2.4
"BANGOR, ME",-0.1,-1.2,2.4
"HOMOSASSA SPRINGS, FL",-0.5,-1.4,2.5
"HANFORD, CA",-0.2,-1.3,0.3
"JEFFERSON CITY, MO",-0.2,-1.3,0.5
"FLORENCE, AL",-0.2,-1.0,1.2
"DOTHAN, AL",-0.4,-1.8,-1.1
"LONDON, KY",-0.2,-1.0,0.3
"ALBANY, GA",-0.1,-0.6,2.6
"SIOUX CITY, IA",-0.1,-1.3,-0.3
"WICHITA FALLS, TX",-0.2,-1.5,1.3
"TEXARKANA, TX",0.0,-1.3,-1.7
"VALDOSTA, GA",-0.1,-0.9,1.9
"LOGAN, UT",-0.5,-1.8,1.4
"FLAGSTAFF, AZ",-0.8,-2.4,1.8
"ROCKY MOUNT, NC",0.0,-0.5,3.5
"POTTSVILLE, PA",-0.1,-0.6,3.2
"DALTON, GA",-0.1,-1.0,1.8
"LEBANON, PA",-0.4,-1.5,0.5
"MORRISTOWN, TN",-0.1,-0.9,2.2
"WINCHESTER, VA",-0.4,-1.8,0.1
"WHEELING, WV",-0.6,-2.1,-3.2
"MORGANTOWN, WV",-0.4,-1.9,-2.5
"LA CROSSE, WI",-0.2,-1.4,0.5
"NAPA, CA",-1.0,-2.7,-2.4
"RAPID CITY, SD",-0.4,-1.7,1.5
"SUMTER, SC",-0.3,-1.3,-1.4
"EUREKA, CA",-0.7,-2.6,-4.7
"SPRINGFIELD, OH",-0.2,-1.2,2.3
"HARRISONBURG, VA",-0.3,-1.6,0.2
"BATTLE CREEK, MI",0.0,-0.9,0.3
"SHERMAN, TX",-0.5,-1.8,0.4
"MANHATTAN, KS",-0.4,-2.0,-1.5
"CARBONDALE, IL",-0.6,-2.5,-3.8
"JOHNSTOWN, PA",-0.8,-3.3,-5.7
"JONESBORO, AR",-0.4,-1.7,-1.3
"BISMARCK, ND",-0.4,-2.0,-2.4
"HAMMOND, LA",-0.6,-2.4,-4.6
"PITTSFIELD, MA",-0.1,-1.0,1.9
"MOUNT VERNON, WA",-0.5,-2.0,0.7
"JAMESTOWN, NY",0.6,0.9,3.0
"THE VILLAGES, FL",-0.8,-1.9,-1.1
"ALBANY, OR",-0.3,-1.4,0.4
"GLENS FALLS, NY",0.0,-0.7,0.7
"LAWTON, OK",-0.4,-1.6,-0.8
"CLEVELAND, TN",-0.1,-0.7,2.6
"SIERRA VISTA, AZ",-0.1,-1.2,-0.2
"AMES, IA",-0.5,-2.2,-1.9
"MANSFIELD, OH",0.3,-0.7,2.3
"STAUNTON, VA",-0.3,-1.6,-0.6
"AUGUSTA, ME",0.0,-1.0,4.0
"ALTOONA, PA",-0.5,-2.1,-3.3
"NEW BERN, NC",-0.2,-1.0,2.2
"FARMINGTON, NM",-0.3,-1.7,-1.5
"ST. JOSEPH, MO",-0.2,-1.5,0.0
"SAN ANGELO, TX",-0.3,-1.7,-0.7
"WENATCHEE, WA",-0.4,-1.6,-0.3
"OWENSBORO, KY",-0.2,-1.2,0.4
"HOLLAND, MI",-0.3,-1.5,0.8
"LUMBERTON, NC",-0.1,-0.1,2.9
"LAWRENCE, KS",-0.6,-2.5,0.6
"GOLDSBORO, NC",-0.3,-1.3,-0.1
"WATERTOWN, NY",0.3,-0.1,0.1
"SHEBOYGAN, WI",-0.3,-1.5,1.2
"WEIRTON, WV",-0.4,-1.6,-0.3
"MISSOULA, MT",-0.5,-2.1,2.9
"BOZEMAN, MT",-0.5,-1.7,1.7
"ANNISTON, AL",-0.4,-2.2,-2.3
"BECKLEY, WV",-0.1,-0.8,3.2
"WILLIAMSPORT, PA",-0.3,-1.8,-1.7
"BRUNSWICK, GA",-0.2,-0.9,1.8
"TWIN FALLS, ID",-0.5,-1.8,1.9
"CALIFORNIA, MD",-0.4,-1.9,-1.7
"COOKEVILLE, TN",-0.2,-1.0,1.9
"MUNCIE, IN",0.1,-0.7,2.2
"MICHIGAN CITY, IN",0.0,-1.0,1.4
"ROSEBURG, OR",0.0,-1.0,0.9
"LEWISTON, ME",0.1,-0.8,3.7
"LONGVIEW, WA",-0.4,-1.7,0.5
"OGDENSBURG, NY",0.2,0.4,0.5
"KANKAKEE, IL",-0.1,-1.4,-0.5
"BLUEFIELD, WV",-0.2,-0.8,1.6
"SHOW LOW, AZ",-0.3,-1.1,2.5
"RICHMOND, KY",-0.2,-1.4,0.8
"TULLAHOMA, TN",-0.1,-0.7,2.7
"WHITEWATER, WI",-0.2,-1.2,1.2
"ITHACA, NY",0.3,-0.9,0.8
"GRAND FORKS, ND",-0.2,-2.0,-3.1
"DECATUR, IL",0.1,-1.4,-1.4
"LAGRANGE, GA",-0.1,-0.8,2.1
"BAY CITY, MI",0.0,-1.4,1.1
"FOND DU LAC, WI",-0.1,-1.2,1.0
"GETTYSBURG, PA",-0.3,-1.6,-0.5
"GADSDEN, AL",-0.3,-1.4,0.1
"KALISPELL, MT",-0.9,-2.3,3.5
"DANVILLE, VA",-0.2,-1.0,2.3
"MANKATO, MN",-0.4,-2.0,-1.2
"LIMA, OH",-0.3,-1.5,0.7
"SALEM, OH",-0.2,-1.0,-0.4
"TRUCKEE, CA",-0.7,-2.5,-2.3
"SEBRING, FL",-0.2,-0.7,2.9
"CHEYENNE, WY",-0.5,-2.2,-2.8
"HOT SPRINGS, AR",-0.2,-0.8,2.6
"ADRIAN, MI",-0.2,-2.0,-0.7
"SHELBY, NC",-0.1,-1.6,2.3
"DUBUQUE, IA",-0.3,-1.7,-0.7
"MERIDIAN, MS",-0.5,-1.9,-3.7
"PINEHURST, NC",-0.5,-1.6,2.5
"PADUCAH, KY",-0.3,-1.3,-0.5
"VICTORIA, TX",-0.4,-2.0,-1.6
"ROME, GA",-0.2,-1.1,2.0
"SEVIERVILLE, TN",-1.1,-2.8,2.0
"MOSES LAKE, WA",-0.2,-1.2,2.2
"ASHTABULA, OH",0.1,-0.4,2.2
"CAPE GIRARDEAU, MO",-0.4,-1.8,-0.6
"ALBERTVILLE, AL",-0.2,-1.1,1.2
"FAIRBANKS, AK",-0.3,-2.2,-4.6
"BRAINERD, MN",-0.1,-1.2,1.5
"CUMBERLAND, MD",-0.4,-1.3,-1.1
"OCEAN CITY, NJ",-0.5,-0.9,2.8
"CORVALLIS, OR",-0.4,-1.8,-0.3
"POCATELLO, ID",-0.2,-1.4,3.3
"CORNING, NY",0.1,-0.2,-0.2
"NEW PHILADELPHIA, OH",-0.3,-1.6,-0.3
"SUNBURY, PA",-0.6,-2.5,-3.6
"UKIAH, CA",-1.1,-3.6,-6.9
"HERMISTON, OR",-0.2,-1.2,0.9
"CLARKSBURG, WV",-0.2,-1.6,-2.4
"PARKERSBURG, WV",-0.3,-1.5,-0.8
"BEAVER DAM, WI",-0.3,-1.6,0.7
"PINE BLUFF, AR",-0.4,-1.9,-2.0
"GRANTS PASS, OR",-0.5,-1.7,-1.3
"CULLMAN, AL",-0.3,-1.6,-0.3
"LUFKIN, TX",-0.2,-1.5,-0.6
"ZANESVILLE, OH",0.0,-1.0,1.7
"NEW CASTLE, PA",0.0,-1.0,-0.2
"OAK HARBOR, WA",-0.8,-2.6,-0.3
"ORANGEBURG, SC",0.0,-0.7,-0.5
"WATERTOWN, WI",0.0,-1.3,0.6
"MEADVILLE, PA",-0.4,-2.2,-1.9
"ELMIRA, NY",0.4,0.0,-0.2
"GREAT FALLS, MT",-0.4,-1.8,1.4
"LAUREL, MS",-0.1,-1.9,-3.4
"RUSSELLVILLE, AR",-0.4,-1.9,-1.6
"INDIANA, PA",-0.3,-1.6,-2.1
"MIDLAND, MI",0.1,-1.5,1.0
"KOKOMO, IN",-0.2,-1.1,0.9
"BLOOMSBURG, PA",-0.4,-2.3,-2.9
"OPELOUSAS, LA",-1.0,-3.2,-8.8
"HELENA, MT",-0.3,-1.4,2.4
"KEY WEST, FL",-0.7,-1.6,2.2
"TALLADEGA, AL",-0.1,-1.3,0.6
"STILLWATER, OK",-0.4,-1.7,-1.1
"COLUMBUS, IN",-0.2,-1.4,0.7
"ATHENS, TX",-0.3,-1.6,-0.1
"CENTRALIA, WA",-0.3,-1.4,2.2
"MANITOWOC, WI",0.1,-0.7,2.1
"HINESVILLE, GA",-0.1,-0.5,3.2
"DUBOIS, PA",-0.7,-2.6,-5.7
"WARSAW, IN",-0.3,-1.5,-0.1
"PLATTSBURGH, NY",0.1,-0.9,0.0
"STATESBORO, GA",0.2,0.2,4.4
"CASPER, WY",-0.3,-1.3,-0.4
"WILSON, NC",-0.1,-0.7,4.0
"GLENWOOD SPRINGS, CO",-0.6,-0.9,3.0
"SENECA, SC",-0.1,-0.5,3.1
"MINOT, ND",-0.2,-1.8,-1.8
"OLEAN, NY",0.3,0.7,1.9
"CHILLICOTHE, OH",-0.2,-1.4,0.9
"SEARCY, AR",-0.2,-1.4,0.0
"GRAND ISLAND, NE",-0.2,-1.4,0.2
"PORT ANGELES, WA",-0.5,-1.9,0.5
"AUBURN, NY",0.3,-0.3,1.2
"HUNTSVILLE, TX",-0.6,-2.1,-2.1
"KEENE, NH",-0.2,-1.4,3.6
"HEBER, UT",-0.5,-1.5,2.9
"QUINCY, IL",-0.5,-2.2,-3.3
"SANDUSKY, OH",0.1,-0.8,1.1
"FINDLAY, OH",-0.3,-1.5,-0.1
"FRANKFORT, KY",0.0,-0.8,1.9
"DANVILLE, IL",-0.4,-2.4,-2.0
"ABERDEEN, WA",-0.5,-1.9,0.8
"PORTSMOUTH, OH",-0.2,-1.0,0.1
"SOMERSET, PA",-0.1,-0.8,-0.5
"WISCONSIN RAPIDS, WI",-0.2,-1.4,0.4
"JEFFERSON, GA",-0.2,-0.8,2.5
"KAPAA, HI",-0.6,-1.3,2.1
"PALATKA, FL",0.0,-0.9,2.1
"GALLUP, NM",-0.4,-1.7,-2.8
"HOBBS, NM",-1.2,-4.2,-11.1
"SHAWNEE, OK",0.0,-0.7,3.1
"MOUNT AIRY, NC",-0.4,-1.2,2.5
"STEVENS POINT, WI",-0.2,-1.7,-0.5
"GREENEVILLE, TN",0.4,-0.2,3.1
"GREENWOOD, SC",-0.2,-0.9,1.6
"LAKE CITY, FL",0.0,-0.5,3.2
"KLAMATH FALLS, OR",-0.2,-1.0,1.9
"MOREHEAD CITY, NC",-0.3,-1.0,2.3
"CLEARLAKE, CA",-0.7,-2.6,-3.9
"ALAMOGORDO, NM",-0.1,-0.9,2.3
"ROANOKE RAPIDS, NC",-0.2,-1.0,0.8
"FARMINGTON, MO",-0.2,-1.1,1.2
"MUSKOGEE, OK",-0.2,-0.8,2.6
"MARION, IN",-0.1,-0.9,0.5
"FARIBAULT, MN",-0.4,-2.1,-1.3
"RICHMOND, IN",-0.2,-1.0,0.3
"MARQUETTE, MI",-0.2,-1.7,0.8
"NORTH WILKESBORO, NC",-0.2,-1.1,3.1
"MOUNT PLEASANT, MI",-0.1,-1.6,-0.6
"RIO GRANDE CITY, TX",-0.8,-2.6,-4.7
"MARION, OH",-0.2,-1.2,0.6
"BARABOO, WI",-0.2,-1.6,0.1
"RED BLUFF, CA",-0.5,-2.2,-1.8
"MARINETTE, WI",0.0,-1.1,2.3
"ROSWELL, NM",-0.6,-2.4,-3.1
"SHELTON, WA",-0.5,-1.9,0.8
"DUBLIN, GA",-0.3,-1.6,0.0
"NACOGDOCHES, TX",-0.2,-1.4,-0.9
"SOMERSET, KY",-0.2,-0.4,-0.5
"COOS BAY, OR",-0.5,-1.8,0.5
"FOREST CITY, NC",-0.3,-1.4,1.8
"MARTINSVILLE, VA",0.0,-0.8,3.4
"REXBURG, ID",-0.5,-2.0,2.1
"LEWISTON, ID",-0.4,-1.7,1.1
"LACONIA, NH",0.0,-0.7,4.7
"GEORGETOWN, SC",-0.2,-0.6,2.2
"ATHENS, OH",-0.2,-1.5,-1.4
"SANFORD, NC",0.0,-0.4,4.9
"ENID, OK",-0.5,-2.3,-3.0
"MOUNT VERNON, OH",-0.2,-1.3,2.0
"WALLA WALLA, WA",-0.4,-1.7,0.4
"ALBEMARLE, NC",-0.2,-0.9,3.8
"HUTCHINSON, KS",-0.4,-2.0,0.9
"HUDSON, NY",-0.1,-0.6,3.0
"STARKVILLE, MS",-0.4,-2.2,-2.6
"CARLSBAD, NM",-0.9,-3.0,-4.6
"GILLETTE, WY",-0.5,-2.0,-1.7
"STURGIS, MI",0.1,-1.3,-0.7
"RUTLAND, VT",0.4,-0.6,1.4
"CROSSVILLE, TN",-0.1,-0.5,3.5
"SAYRE, PA",-0.2,-1.2,-0.9
"SALINA, KS",-0.3,-2.1,-0.2
"MARIETTA, OH",-0.4,-2.0,-2.2
"FERGUS FALLS, MN",-0.1,-1.2,0.5
"BARRE, VT",-0.1,-1.2,0.6
"FREMONT, OH",-0.2,-1.4,0.1
"ONEONTA, NY",0.2,-0.2,0.3
"COLUMBUS, MS",-0.1,-1.8,-3.2
"NORWALK, OH",-0.2,-1.5,-0.8
"BATAVIA, NY",-0.1,-1.1,0.6
"ARDMORE, OK",0.0,-0.4,2.1
"PALESTINE, TX",0.0,-0.8,2.0
"FORT MADISON, IA",-0.5,-2.2,-3.2
"CHARLESTON, IL",-0.2,-1.7,-1.5
"FERNLEY, NV",-0.5,-1.7,-1.0
