RegionName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31
"PHOENIX, AZ",10094.44260432514,10305.344192756003,9815.583628744802,8923.21213450346,7977.912760351109,7468.504911635927,7377.357902757187,7547.036553733818,7565.290096942676,7420.856326513935,7582.184824799219,7855.472965239307,8487.835746972063,8729.130684656448,8873.431555245921,8598.443535685326,8166.148136848886,7979.14767667642,8175.386831702483,8412.499463025584,8714.769317257284,8575.535208633359,9381.869628120588,11504.86293575771,12982.207134433433,12338.18045933894,10444.14009581804,10131.873748489568,11364.89945701536,12408.177073073786,12800.179633238198,12655.909609936904,12648.86631641547,12913.514296010726,14734.684882307693,16699.038542726223,19558.19663484362,21426.72915187004,23604.367876996897,23891.69835505205,22272.888513691472,19739.550973687517,17301.128404735584,17205.449477418948,16685.16948562097,16557.499103171554,16790.972037769152,18784.58954401226,20717.280510049048,21871.800122897926,22078.859945150023,21601.314736737026,20148.105625742926,18243.68606821988,16719.156122675286,16301.4370447504,16165.360871951698,16240.65342535349,16162.145150544942,16474.29768648426,17228.755436353556,17974.68769360503,18586.050158320035,18209.31327920526,17455.7404097729,16013.30079069976,15847.138054656469,16068.552956181486,16316.385204536144,15585.994599351994,15432.799762012442,16181.342603922452,17465.967438948643,18020.4060481355,17517.21423762557,16577.256570532587,14952.68515566525
"SAN FRANCISCO, CA",73422.21935281566,78852.13461698295,79936.74940081396,81023.48944843301,70855.6862468075,60624.588466851856,54009.05472242,54799.25788719314,54876.32516005923,50943.08100010652,48498.26383861038,46267.72078198245,47462.86162635399,48903.298085732094,53624.616628352414,55145.89645484381,51714.02930995391,46332.14483646412,48026.61208370393,51625.78846074473,55241.39182273768,51099.80330901952,53681.66037456447,60431.532811286896,67183.11824669635,65359.26251171465,60931.80420450087,61408.00121431833,64220.36542063728,66925.35514436073,67817.52605418784,69168.79583700684,69000.26508163975,66445.24931615706,67759.77862161004,69744.84791975479,74402.34317214279,79606.42715188854,87161.02229387267,91083.25724041754,85277.85268285392,72951.29304265324,65971.84290552657,65378.482442887056,66107.08825190984,65028.02157692715,65368.64223651581,67131.63564340238,74410.11125791662,75954.5287728524,80599.73839275696,78453.23927584205,75223.80081440539,68889.19262215159,65005.9880535628,67090.50043027528,67597.84079276361,62700.251214060256,59930.715103774135,60001.32558529678,71362.12965523556,81510.4042409543,94366.5231117938,95217.1492145051,87806.88509622628,76780.2268114173,74014.75140886285,74875.34271104973,72431.97395545123,63023.247860371775,57834.10982296251,58157.49570932319,60646.82177891611,64731.76548658271,67193.36649757683,69905.04763809094,64593.36495830387
"RIVERSIDE, CA",16797.0775252837,16495.934807910893,15397.85691713098,14372.303737304896,13249.24066531103,12942.853529351729,12547.421077094792,12563.218772329508,12653.23907093544,13206.797284659262,13842.99256498123,14426.373624299806,14864.794377400198,14790.904463399103,14616.281504067045,14000.09737470872,13378.759039902829,12926.75665150817,12638.550609216372,12540.700189595242,12401.555291131404,12850.705109365306,13920.74328125386,15763.337077657494,17020.660051329527,16880.60943162822,15549.838181171348,15109.48327639324,15469.369361921132,17232.49758941078,18079.261350161774,19389.49960632201,20021.924173788964,20646.10972806732,22456.830084233345,23902.384850797876,26966.457067154013,27941.927948096243,30479.806033476587,29777.697295002803,28728.793279190388,25502.14160166764,23848.944488990808,22765.209394472306,22656.26904285412,22402.905944679314,24298.471705183107,26401.32450853923,28648.049633952032,29289.21722451181,28833.85946808752,28265.41290992283,26187.61345112848,24313.594237668392,22509.963673003684,22106.35510199357,22536.80728820595,22730.187491139583,23810.95408557217,24142.38199389209,25792.40298583696,26144.53904052428,27471.01488789944,26995.60201052284,27277.287653867475,26070.348230011256,25336.786274443173,24836.16526378182,24958.501676576507,24989.003814066316,25218.010484295053,26159.01572215751,27036.96469826663,27260.02731535601,26416.682376663477,25556.704582591017,23849.154013767256
"DETROIT, MI",11292.744041474536,11817.56512370326,12623.123751805624,12717.768466405048,12849.765597047946,12037.742653348383,11221.862981427068,10334.802206515464,9779.985216322006,9208.145689504005,9121.649459914785,9264.334501331678,10048.56069842948,10748.641263058444,11456.752134368222,11882.420340530787,11794.011851486788,11337.75860766507,10749.138810648714,10384.146966916296,9824.094545004844,9063.62003744105,8840.664349874778,9340.940067674584,10027.196966776582,10586.686429552328,10914.184189459836,11498.949693911189,12024.625444978845,12608.944237676647,12805.537081072029,12462.114850004711,11796.540726552324,11272.103158506405,11422.746090534458,12676.41292417054,14150.589088431863,16115.487661895606,16773.319036209923,17491.356192386946,17013.08206658793,16435.141328583915,15318.651994497972,14166.360010301263,13377.652544633063,12414.121207719814,12410.494418283017,12371.527456720622,13665.445962695192,15586.236047232278,17313.583182854243,18136.133537322323,17157.284655494073,16058.844286950023,14940.152296730756,14139.978035273767,13351.37476551914,12415.583155973582,11978.148772134717,11914.498916202152,12424.063973307166,13714.28832398913,15111.44401766485,16388.578779845673,16564.970414428175,16202.112652195216,15601.47013741069,14333.801057276674,13412.72350806887,12149.58567846293,11551.724104821751,11595.372869070276,12881.64953240799,14126.78057444715,15063.179052363075,16567.799612509698,16902.513978294945
"SEATTLE, WA",28320.97374831326,30429.848152233284,30952.09171768162,30503.573756213445,27507.46313962197,24938.553007064536,23371.6363482726,22677.28512423924,22194.66208970653,20849.965290497144,20901.334425535024,21730.963217753186,23755.59291834344,24831.00128109537,25820.56884205477,25972.83207562669,25218.711917281704,23919.74629026178,23135.78021902616,22941.03987741305,22617.232432537552,21818.81066976383,24809.779116376743,30039.561756682862,33162.103872722335,30641.48931468841,26687.213410658547,25441.229758093792,27443.258602156493,28057.01711447122,28963.809066606944,28523.643114787847,28912.22066495053,28017.09034677332,30495.250702794496,33236.17175578501,34769.440603832765,34935.74965042184,35583.01567583749,37352.37705951351,36220.59551387659,33373.94214906245,31589.02371567137,30552.74866232536,29946.32401408644,29425.194789291683,30323.23882352941,35490.47580721178,43102.14669501134,49387.61509284738,51934.17655183799,50090.18128743761,46181.36779894971,40817.27997558982,37824.11944491296,36268.17163382011,35522.00991626623,32787.485598143154,32096.536127654617,32337.399982293504,35119.91886604687,37392.25050541961,40122.25651384274,40554.78921414577,40668.119615331336,38210.76563151831,37118.33886786941,35383.58546924315,34137.87965759007,30947.06689999526,29457.113364754605,29190.635512083903,31175.96610538995,31948.611754770216,33781.27301332015,34354.13877924369,34450.90970845732
"MINNEAPOLIS, MN",14619.886520430571,14770.877590923794,14988.583506591742,14554.7194703875,14215.037574693482,13384.119917762286,12761.59450185058,12273.12429721125,11679.67791739946,10816.3098791794,11073.618764928508,12470.366740707195,13838.532209590769,14371.94718326476,13995.109343280332,13797.13173469814,13581.725413800688,13059.738227687783,12511.10542010222,11585.806000978017,10854.67174127908,10007.927259195065,10170.806942443603,11965.380236668563,13687.228828689156,14024.014070228526,13261.293272055967,13455.05403925619,14477.520544108536,15124.63031150616,15033.005613393383,14247.662561099582,13337.248193283487,12383.437205116605,12588.215512033776,14032.182752279528,15655.943241846448,17397.43963409933,18167.124372876813,18898.42725157873,18082.612503086235,17059.553239509365,15698.354410970918,14837.81314126667,14025.771364720704,12969.442895943515,12964.847193685904,13808.732332664937,15758.132228410215,17039.26142472958,18119.497478758807,18184.72686860299,18064.827497264923,16998.583999266466,16429.001692339367,15526.156761801463,14869.716177707693,13892.06166947828,13619.239734676192,13756.810708267769,14690.76334736863,16217.801219162176,18078.12947990101,19245.889402820685,19586.87242203224,18795.73840344915,18008.84126439771,16791.45386205458,15726.181974786226,14359.129694357653,13739.92185609697,13955.374008675415,14820.680387029142,15740.002228755731,16735.90346441383,17479.997817893312,17471.495573511103
"SAN DIEGO, CA",28730.431537316428,28050.545120158706,28011.18867870636,28095.103864766406,27256.63521353037,26764.48507639653,24788.343636237507,24261.90120360341,23491.17894387023,23470.661982147318,23526.00631462199,23908.85197084736,24984.444553019053,25631.1883335368,26039.44319838613,26413.174680971348,26345.299096229108,26272.99624039509,26362.51265873025,26516.74908654124,27907.61700401508,28403.014730123617,28509.499550366367,30249.31811572209,31418.351132519358,31147.22789363029,28287.85529589164,27713.94081726628,30521.047538837072,32448.237214706824,34522.773979147736,34234.182341812295,34777.61364960393,33531.79563910109,35953.15819308467,40549.3972813216,46209.59115423196,51147.29556669703,52829.31278339846,52202.54027599681,46791.70104614585,43793.311316774,40876.777863071045,41984.01179033744,42489.81307580217,44125.30635836119,50549.75235154963,59138.930301286186,71478.90673170968,71844.00916529096,66470.84018433212,56060.78936232717,49147.16591433881,44576.46319644072,41100.2932550277,40971.59796314944,40389.49957991667,39064.02482646024,40219.41169791462,41135.58631103472,46532.30031733393,50238.54187973933,59855.92292174888,64708.92835211943,65909.4883797436,61245.48025460046,57349.07552568335,54787.2487364535,48790.71046445804,44744.88216105176,44478.764154964265,47649.49046822001,50407.072426767736,52801.37573514469,53174.70903918037,51225.05204026355,46892.10979569944
"TAMPA, FL",9541.21310645803,9797.318123858902,9981.09564786066,10182.696984376607,9939.225982882564,9617.495609469746,9229.106562393155,9054.080375381169,8862.30203798566,8652.281302505902,8462.94818992117,8420.27849626375,8696.934957612692,8990.898946033722,9253.633025169453,9275.270553968092,9137.540707498712,9151.948781921865,9118.031589902956,9023.18042253839,8726.333923611872,8466.489740161924,8565.991311111757,9324.15366105596,9848.956646744127,9828.17383628277,9267.55526313633,9106.905739416286,9402.370150932502,9778.256953746144,10203.977595935188,10579.09759001978,10622.178327415328,10578.972468753758,10798.240482625975,11727.389954620528,12784.375435223445,14321.419978154772,16197.798439490556,,17685.04388054555,17245.4643624017,16827.425887670346,16600.42287582911,16859.89759563825,16547.042640275293,17172.932096133653,19619.55999921402,22694.37256556097,25610.49057761165,24742.686797610077,23674.14306787861,21348.65094393337,19632.84086943552,17645.912299019248,17014.161735133224,16474.701565277184,16101.233471054107,15723.372924132953,15861.8588093794,16501.854607986228,17005.591662409104,17519.940887112694,17652.88888958128,17642.05365864998,16870.3341883179,16402.507933910372,15848.96585162353,15668.079358549556,15213.299304973089,15136.207403472616,15552.920371174814,16178.761677014038,16495.792449770724,16197.063450237183,16109.551386216224,15955.043236869373
"DENVER, CO",16390.03569596248,16370.139292892864,16101.265796608765,15709.669002181996,14864.62320442945,14094.562383698503,13502.63011661484,13052.861842868797,12474.581870002216,11690.822601629525,11733.977290501818,12104.567777293389,13072.593696302982,13386.668657131364,13599.620480122996,13361.934725607189,12933.004724887238,12615.227197603232,12430.898458578436,11945.068140811269,11414.675465889266,11152.233646852284,11792.505563893788,13677.705560493188,14982.406127296674,15183.281644775028,14288.32900530744,13961.690613742308,14588.380433840435,15037.56879506037,16030.256996391856,16574.18857175595,16951.565310533148,16587.386443660085,17858.173819931762,20865.45588218417,24791.429032320146,29111.352374584745,30342.53495691945,29939.529922555696,26297.65293463419,24279.65715758206,22795.212691722136,22317.218822326267,21909.287342783744,21068.150765374885,22885.88083466043,28833.95456416061,32750.05735865293,33658.77833238606,30181.88534458118,28442.720401437266,26359.47259639735,23640.20555800993,21549.65985138416,20728.12981162828,20424.592919325307,19652.5934578612,19247.164665308024,19953.36404173486,22299.27240872354,23753.98115360639,25495.19782439761,24764.46439317005,24595.67181112753,23181.800138419752,22506.321235364183,21397.172501156096,19381.43306160972,17731.70575578615,16469.66547631146,16524.04058598184,17538.58202706065,18508.070753696255,18943.33292155895,19067.3174709206,18435.04384700413
"BALTIMORE, MD",12015.948089224768,12695.393015017116,13317.637309997614,13564.94573019904,13241.240765837189,12848.342234863589,12576.51418997012,12427.84603083162,12206.499378159264,11620.83026488673,11301.522673881993,11321.443164308992,11953.4927353751,12412.733116878326,13186.399454674616,13563.148646306872,13624.094891149813,13243.493424991166,12954.644321733937,12698.848385387924,11998.969225977526,11475.40221671793,11203.480086849231,12181.215588490944,12778.213299008976,13007.68527950828,12942.760057586003,13292.740488850644,14152.118671206006,14405.110294878848,14625.372855961175,14579.14444965205,14235.387324237428,13746.848474646098,13632.986477012562,14291.15515498403,15271.54715230439,16626.912746446465,18135.285196474342,19030.316505228755,18451.178780629893,17022.518489906073,15781.3716285303,15163.94062705816,14811.881381030313,13866.45434112942,13617.978410434358,13544.560158159604,15607.3679736571,16797.231071231767,18225.2664205154,18122.123785616343,17755.90012845869,16962.617341327063,16185.668048015024,16345.968579459191,16051.079135489112,15149.649550273029,14579.621078754864,14853.459487173051,16406.062684516935,17447.37068297136,18716.22271510651,19700.01966493295,19708.12281422344,18848.556058668004,16935.52450038177,16424.80930834523,15554.90254586476,14968.614883456596,13967.016633619096,14409.828903460168,15220.753911252832,16542.11805643026,17208.861603590023,17840.3951604458,17836.433989409546
